Clean_Product_Name,Brand,Customer_Name,Review_Date,clean_title,clean_description,clean_description_norm,Sentiment,Sentiment_confidence,rule_decisions
Galaxy A16 Space Ram,Samsung,Anonymous,أغسطس 6 2025,الهاتف اطلبه,طلبت اصدار الشرق الاوسط لكنهم ارسلوا اخر النظره الاولي يبدو انه مزيف يكن الصندوق مغلفا بورق بلاستيكي اشارككم الصوره ايضا اريد اريد استرداد اموالي الان,طلبت اصدار الشرق الاوسط لكنهم ارسلوا اخر النظره الاولي يبدو انه مزيف يكن الصندوق مغلفا بورق بلاستيكي اشارككم الصوره ايضا اريد اريد استرداد اموالي الان,negative,0.9,neg_lex_override
Iphone 17 Pro Max 256,Apple,James F.,أكتوبر 3 2025,,السعر قليل لكنه اعلي الطبيعي,السعر قليل لكنه اعلي الطبيعي,neutral,0.6701996326446533,none
Galaxy S24 Ultra Titanium Ram,Samsung,Anonymous,يونيو 6 2025,تم تسليم المنتج المستعمل,تنبيه وفقا لسياسه للارجاع والاسترداد يرجي عدم فتح علبه المنتج اذا رغبت ارجاعه الاطلاع علي السياسه توخيت الحذر الشديد وتواصلت خدمه عملاء سامسونج للتحقق ملصق الملصق خارج العلبه ولدهشتي اكدت سامسونج ان الهاتف مفعل بالفعل وانه مفعل بالضمان بدات فتره الضمان شهرين يشير بوضوح الي ان الهاتف مجدد معاد,تنبيه وفقا لسياسه للارجاع والاسترداد يرجي عدم فتح علبه المنتج اذا رغبت ارجاعه الاطلاع علي السياسه توخيت الحذر الشديد وتواصلت خدمه عملاء سامسونج للتحقق ملصق الملصق خارج العلبه ولدهشتي اكدت سامسونج ان الهاتف مفعل بالفعل وانه مفعل بالضمان بدات فتره الضمان شهرين يشير بوضوح الي ان الهاتف مجدد معاد,negative,0.9,neg_lex_override
Iphone 17 Pro Max 256,Apple,Nikhil J.,أكتوبر 12 2025,اشياء شرعيه,التسليم والتفاح الكلاسيكي,التسليم والتفاح الكلاسيكي,neutral,0.8076397776603699,none
Galaxy S24 Ultra Titanium Ram,Samsung,Mehedi  H.,نوفمبر 12 2024,مفاجاه مذهله الظهيره,لقد اشتريت مؤخرا وكنت متشككا البدايه بشان صحه الجهاز نظرا لانتشار المنتجات المقلده علي الانترنت بشكل متزايد ومع الفحص الدقيق فوجئت بسرور عندما وجدت ان الهاتف اصلي بالفعل يعتبر قوه حقيقيه يتميز بتصميم انيق وشاشه نابضه بالحياه واداء المزيد استثنائي نظام الكاميرا مثير للاعجاب بشكل خاص يلتقط صورا ومقاطع فيديو مذهله حتي ظروف الاضاءه المنخفضه عمر البطاريه ممتاز ايضا ويدوم بسهوله طوال يوم كامل الاستخدام المكثف لقد اعجبت بشكل خاص بخدمه كانت عمليه الطلب سلسه وكان التسليم الوقت المناسب كانت العبوه نظيفه ووصل الهاتف حاله ممتازه اذا كنت تفكر شراء هاتف ذكي متطور فانا اوصي بشده بـ واذا كنت قلقا بشان الاصاله فان الحل,لقد اشتريت مؤخرا وكنت متشككا البدايه بشان صحه الجهاز نظرا لانتشار المنتجات المقلده علي الانترنت بشكل متزايد ومع الفحص الدقيق فوجئت بسرور عندما وجدت ان الهاتف اصلي بالفعل يعتبر قوه حقيقيه يتميز بتصميم انيق وشاشه نابضه بالحياه واداء المزيد استثنائي نظام الكاميرا مثير للاعجاب بشكل خاص يلتقط صورا ومقاطع فيديو مذهله حتي ظروف الاضاءه المنخفضه عمر البطاريه ممتاز ايضا ويدوم بسهوله طوال يوم كامل الاستخدام المكثف لقد اعجبت بشكل خاص بخدمه كانت عمليه الطلب سلسه وكان التسليم الوقت المناسب كانت العبوه نظيفه ووصل الهاتف حاله ممتازه اذا كنت تفكر شراء هاتف ذكي متطور فانا اوصي بشده ب واذا كنت قلقا بشان الاصاله فان الحل,positive,0.9596761465072632,pos_lex_override
Iphone 17 Pro Max 256,Apple,Diedone S.,أكتوبر 2 2025,جيد جدا وجميل ايضا,خدمه رائعه,خدمه رائعه,positive,0.9604335427284241,pos_lex_override
Galaxy A16 Space Ram,Samsung,Anonymous,أكتوبر 2 2025,خدمه سيئه للغايه,لقد استلمت منتجا مختلفا يحتوي علي شريحتي اتصال مطلوب تحقق تفاصيل الطلب بعنايه التعبئه اتطلع لاستلام المنتج الصحيح مطلوب ووفقا لوصف المنتج او ترتيب استرداد المبلغ لقد ضيعت وقتا,لقد استلمت منتجا مختلفا يحتوي علي شريحتي اتصال مطلوب تحقق تفاصيل الطلب بعنايه التعبئه اتطلع لاستلام المنتج الصحيح مطلوب ووفقا لوصف المنتج او ترتيب استرداد المبلغ لقد ضيعت وقتا,negative,0.9,neg_lex_override
Galaxy S24 Ultra Titanium Ram,Samsung,Anonymous,أغسطس 14 2025,هاتف مفعل مسبقا او مستعمل,اشتريت هاتف سامسونج جالاكسي اس الترا وتحققت رقم ووجدت ان الهاتف مفعل مسبقا يعاد الان شكرا افتح العلبه ساتقدم بشكوي لحمايه المستهلك تحققت ايضا مركز خدمه سامسونج واكدوا ان الهاتف مفعل يرجي الحذر شراء جهاز باهظ الثمن يجب علي اتخاذ اجراءات صارمه ضد البائع المزيد اكثر رسائل بريد الكتروني اعادت الهاتف المستعمل او المفعل مسبقا شباب يرجي عدم الشراء بهذه التجارب خدمه دعم العملاء سيئه للغايه وفقا لسياسه افتح العلبه واغلفها حتي رفضهم طلب الارجاع,اشتريت هاتف سامسونج جالاكسي اس الترا وتحققت رقم ووجدت ان الهاتف مفعل مسبقا يعاد الان شكرا افتح العلبه ساتقدم بشكوي لحمايه المستهلك تحققت ايضا مركز خدمه سامسونج واكدوا ان الهاتف مفعل يرجي الحذر شراء جهاز باهظ الثمن يجب علي اتخاذ اجراءات صارمه ضد البائع المزيد اكثر رسائل بريد الكتروني اعادت الهاتف المستعمل او المفعل مسبقا شباب يرجي عدم الشراء بهذه التجارب خدمه دعم العملاء سيئه للغايه وفقا لسياسه افتح العلبه واغلفها حتي رفضهم طلب الارجاع,negative,0.954563319683075,neg_lex_override
Galaxy A16 Space Ram,Samsung,Faith E.,سبتمبر 16 2025,سامسونج رمادي,لماذا تعيد المنتج وبه مشكله يمكنك ان تخبرني اشتري اي شيء منك ابدا لقد كنت عميلا لديك لقد انتهيت لماذا المنتج الخاص مؤهل,لماذا تعيد المنتج وبه مشكله يمكنك ان تخبرني اشتري اي شيء منك ابدا لقد كنت عميلا لديك لقد انتهيت لماذا المنتج الخاص مؤهل,negative,0.9511455297470093,neg_lex_override
Galaxy S24 Ultra Titanium Ram,Samsung,Annaliza R.,مارس 27 2025,ممتاز واصلي,انا عميل لدي اربع سنوات وهذه اول مره اشتري هاتفا غاليا منهم اشتريته اليوم وترددت البدايه خوفا الا يكون اصليا لكنني كنت مخطئا انه اصلي وسريع التوصيل وصل عبوه ممتازه وتم التعامل معه بعنايه وكل شيء علي يرام البطاريه جيده جدا اخف بطاريات ايفون برو ماكس استخدمت شاحن شاومي السريع بقوه واط وشحنته دقيقه اي حراره او اي خلل استخدم ايفون لكنني معجب بهذا المزيد الهاتف انصح الجميع بشرائه تترددوا عمل رائع شكرا,انا عميل لدي اربع سنوات وهذه اول مره اشتري هاتفا غاليا منهم اشتريته اليوم وترددت البدايه خوفا الا يكون اصليا لكنني كنت مخطئا انه اصلي وسريع التوصيل وصل عبوه ممتازه وتم التعامل معه بعنايه وكل شيء علي يرام البطاريه جيده جدا اخف بطاريات ايفون برو ماكس استخدمت شاحن شاومي السريع بقوه واط وشحنته دقيقه اي حراره او اي خلل استخدم ايفون لكنني معجب بهذا المزيد الهاتف انصح الجميع بشرائه تترددوا عمل رائع شكرا,positive,0.8345567584037781,mixed_positive_margin
Galaxy A16 Space Ram,Samsung,Anonymous,سبتمبر 2 2025,هاتفا سيئا وشرعيا,شيء جيد والاصلي سامسونج يحتوي علي محول شاحن وقد ثبت بالفعل الشيء الوحيد شكي لانني اتوقع ان يحتوي علي علي عكس,شيء جيد والاصلي سامسونج يحتوي علي محول شاحن وقد ثبت بالفعل الشيء الوحيد شكي لانني اتوقع ان يحتوي علي علي عكس,positive,0.85,pos_lex_override
Galaxy S24 Ultra Titanium Ram,Samsung,Iraz M.,يوليو 12 2024,افضل هاتف ذكي علي الاطلاق,لقد قمت مؤخرا بطلب هاتف عبر الانترنت وانا معجب جدا تعد جوده تصنيع الهاتف الطراز الاول تصميم انيق يشعرك بالفخامه متناول اليد شاشه مقاس بوصه مذهله وتوفر الوانا نابضه بالحياه وتفاصيل حاده يجعلها مثاليه لاستهلاك الوسائط والالعاب ناحيه الاداء فان يخيب الامال انه مدعوم بمعالج قوي يضمن تجربه تعدد المهام والالعاب بسلاسه نظام الكاميرا المزيد استثنائي يلتقط صورا ومقاطع فيديو مفصله بميزاته المتقدمه,لقد قمت مؤخرا بطلب هاتف عبر الانترنت وانا معجب جدا تعد جوده تصنيع الهاتف الطراز الاول تصميم انيق يشعرك بالفخامه متناول اليد شاشه مقاس بوصه مذهله وتوفر الوانا نابضه بالحياه وتفاصيل حاده يجعلها مثاليه لاستهلاك الوسائط والالعاب ناحيه الاداء فان يخيب الامال انه مدعوم بمعالج قوي يضمن تجربه تعدد المهام والالعاب بسلاسه نظام الكاميرا المزيد استثنائي يلتقط صورا ومقاطع فيديو مفصله بميزاته المتقدمه,positive,0.9901086091995239,none
Iphone 17 Pro Max 256,Apple,Anonymous,أكتوبر 7 2025,كرتون مخدوش,اتمكن استرداد المبلغ,اتمكن استرداد المبلغ,negative,0.9,neg_lex_override
Galaxy S24 Ultra Titanium Ram,Samsung,Anonymous,فبراير 3 2025,ظهر رائع,لقد اشتريت مؤخرا هاتف دبي ويجب ان اقول ان التجربه كانت رائعه كانت العمليه برمتها التصفح الي الدفع سلسه وخاليه المتاعب التسليم سريعا وموثوقا ووصل المنتج بحاله ممتازه اصلي بنسبه ومختوم وحش مطلق اداء يصدق وشاشه مذهله وجوده كاميرا الدرجه المزيد الاولي انا استمتع بجهازي الجديد واقدر الخدمه الممتازه اوصي بشده بـ لاي شخص يبحث تجربه تسوق عبر الانترنت جديره بالثقه وسلسه,لقد اشتريت مؤخرا هاتف دبي ويجب ان اقول ان التجربه كانت رائعه كانت العمليه برمتها التصفح الي الدفع سلسه وخاليه المتاعب التسليم سريعا وموثوقا ووصل المنتج بحاله ممتازه اصلي بنسبه ومختوم وحش مطلق اداء يصدق وشاشه مذهله وجوده كاميرا الدرجه المزيد الاولي انا استمتع بجهازي الجديد واقدر الخدمه الممتازه اوصي بشده ب لاي شخص يبحث تجربه تسوق عبر الانترنت جديره بالثقه وسلسه,positive,0.9810444712638855,pos_lex_override
Galaxy A16 Space Ram,Samsung,Namatovu B.,مايو 17 2025,جيد جدا,الهاتف جيد ولكنني اعتقدت انني ساستلمه جراب الهاتف وواقي الشاشه ولكنني شعرت بخيبه امل ومع فهو جيد جدا شكرا علي الظهيره لقد سلمت اغراضنا الوقت المحدد,الهاتف جيد ولكنني اعتقدت انني ساستلمه جراب الهاتف وواقي الشاشه ولكنني شعرت بخيبه امل ومع فهو جيد جدا شكرا علي الظهيره لقد سلمت اغراضنا الوقت المحدد,neutral,0.679273247718811,none
Iphone 17 Pro Max 256,Apple,Naser A.,سبتمبر 28 2025,صدمه يوم طلبت الجوال عندهم وطلع اغلي السعر الرسمي,صدمه يوم طلبت الجوال عندهم طلب مسبق وطلع اغلي السعر الرسمي حسيت نفسي مررره مغبون خصوصا اني شريت واخوي خليته يشتري منهم,صدمه يوم طلبت الجوال عندهم طلب مسبق وطلع اغلي السعر الرسمي حسيت نفسي مررره مغبون خصوصا اني شريت واخوي خليته يشتري منهم,negative,0.9460510015487671,none
Galaxy S24 Ultra Titanium Ram,Samsung,Anonymous,أغسطس 16 2025,فضلك حذرا,يرجي توخي الحذر فقد اشتريت هاتف سامسونج جالاكسي اس الترا البائع فيولا وعندما تواصلت دعم سامسونج الهاتف مفعلا حوالي ثلاثه اشهر لذا فتح المنتج يرجي التواصل دعم سامسونج وتزويدهم برقم للتحقق تفعيله صور فيديو وصورا اثناء فتح المنتج تبدد اموالك كسبتها بشق الانفس علي منتجات مفعله مسبقا او معاده واتخذ الاحتياطات اللازمه الشراء,يرجي توخي الحذر فقد اشتريت هاتف سامسونج جالاكسي اس الترا البائع فيولا وعندما تواصلت دعم سامسونج الهاتف مفعلا حوالي ثلاثه اشهر لذا فتح المنتج يرجي التواصل دعم سامسونج وتزويدهم برقم للتحقق تفعيله صور فيديو وصورا اثناء فتح المنتج تبدد اموالك كسبتها بشق الانفس علي منتجات مفعله مسبقا او معاده واتخذ الاحتياطات اللازمه الشراء,negative,0.7262439131736755,none
Galaxy A16 Space Ram,Samsung,NAMYENYA B.,يونيو 9 2025,سامسونج جيجابايت جيجابايت اسود,جاء الهاتف شاحن فقط بدون محول والان اتساءل ساقوم بشحنه خيبه الامل حصلت عليها المنتج,جاء الهاتف شاحن فقط بدون محول والان اتساءل ساقوم بشحنه خيبه الامل حصلت عليها المنتج,neutral,0.5771585702896118,none
Galaxy S24 Ultra Titanium Ram,Samsung,Rashid S.,يونيو 24 2025,تم اصدار مفتاح التحكم مستوي الصوت ومفتاح الصفحه الرئيسيه لجهاز,انا راض تماما تجربتي الاخيره استلمت هاتف سامسونج الترا بحاله معيبه بشكل واضح ازرار التشغيل والصوت كانت مكسوره وانفصلت فورا محاوله استخدام الهاتف يشير الي مشكله خطيره مراقبه الجوده المخيب للامال ان قامت بشحن منتج كهذا يثير التساؤل حول موثوقيه البائع ومسؤوليته سافكر مليا الطلب مره اخري,انا راض تماما تجربتي الاخيره استلمت هاتف سامسونج الترا بحاله معيبه بشكل واضح ازرار التشغيل والصوت كانت مكسوره وانفصلت فورا محاوله استخدام الهاتف يشير الي مشكله خطيره مراقبه الجوده المخيب للامال ان قامت بشحن منتج كهذا يثير التساؤل حول موثوقيه البائع ومسؤوليته سافكر مليا الطلب مره اخري,negative,0.9680935144424438,neg_lex_override
Galaxy A16 Space Ram,Samsung,SUJAN M.,مايو 29 2025,لديه مظهر متميز,المنتج يلبي توقعاتي والسعر معقول ايضا المشكله ان اصدار الشرق الاوسط يوفر الشاحن داخل العلبه,المنتج يلبي توقعاتي والسعر معقول ايضا المشكله ان اصدار الشرق الاوسط يوفر الشاحن داخل العلبه,negative,0.9,neg_lex_override
Galaxy S24 Ultra Titanium Ram,Samsung,Suraj S.,سبتمبر 10 2025,تم اكتشاف وجود رطوبه منفذ الشحن,مشكله منفذ هاتف سامسونج جالاكسي مزعجه اذ يواجه المستخدمون مشاكل الشحن حتي التعرض للماء تشمل الاسباب المحتمله تلف الكابلات او تلف المنافذ او خللا البرامج تشمل خطوات استكشاف الاخطاء واصلاحها التحقق اعدادات وتحديث برامج التشغيل واعاده تشغيل الاجهزه اذا استمرت المشاكل فننصحك بطلب مساعده متخصصه مركز خدمه معتمد سامسونج يامل المزيد المستخدمون ان تعالج سامسونج المشكله الشائعه حتي تكتمل يتم اصلاحها,مشكله منفذ هاتف سامسونج جالاكسي مزعجه اذ يواجه المستخدمون مشاكل الشحن حتي التعرض للماء تشمل الاسباب المحتمله تلف الكابلات او تلف المنافذ او خللا البرامج تشمل خطوات استكشاف الاخطاء واصلاحها التحقق اعدادات وتحديث برامج التشغيل واعاده تشغيل الاجهزه اذا استمرت المشاكل فننصحك بطلب مساعده متخصصه مركز خدمه معتمد سامسونج يامل المزيد المستخدمون ان تعالج سامسونج المشكله الشائعه حتي تكتمل يتم اصلاحها,negative,0.8995214700698853,mixed_pref_negative
Galaxy S24 Ultra Titanium Ram,Samsung,Anonymous,ديسمبر 29 2024,هاتف رائع وتوصيل سريع للغايه,كنت متشككا بشان شرائه عبر الانترنت لكنني حصلت علي صفقه مذهله لقد احببت الهاتف والالوان فهو هاتف الدرجه الاولي انتاج اذا كنت تحب الشاشه الكبيره لمشاهده مقاطع الفيديو وكاميرا عاليه الدقه مذهله ومعالج سريع للغايه عمر بطاريه مذهل فهذا الهاتف مناسب بالتاكيد ملاحظه اذا كنت سائحا وتحاول شراء الهاتف عبر الانترنت فيرجي ملاحظه المزيد انك تتمكن المطالبه باسترداد ضريبه القيمه المضافه المطار اذا كنت ترغب الاستفاده فقم بشرائه متجر المعفي الضرائب,كنت متشككا بشان شرائه عبر الانترنت لكنني حصلت علي صفقه مذهله لقد احببت الهاتف والالوان فهو هاتف الدرجه الاولي انتاج اذا كنت تحب الشاشه الكبيره لمشاهده مقاطع الفيديو وكاميرا عاليه الدقه مذهله ومعالج سريع للغايه عمر بطاريه مذهل فهذا الهاتف مناسب بالتاكيد ملاحظه اذا كنت سائحا وتحاول شراء الهاتف عبر الانترنت فيرجي ملاحظه المزيد انك تتمكن المطالبه باسترداد ضريبه القيمه المضافه المطار اذا كنت ترغب الاستفاده فقم بشرائه متجر المعفي الضرائب,negative,0.9484124779701233,neg_lex_override
Galaxy A16 Space Ram,Samsung,Rashadul Islam P.,أغسطس 9 2025,خدمه جيده,ماشاء الله استخدمته استخدمه بفهم طريقه عمله وان شاء الله يكون ممتاز والباقي علي الله,ماشاء الله استخدمته استخدمه بفهم طريقه عمله وان شاء الله يكون ممتاز والباقي علي الله,positive,0.962563693523407,pos_lex_override
Galaxy S24 Ultra Titanium Ram,Samsung,Shaik M.,سبتمبر 8 2025,هاتف مفعل مسبقا,اعرف لماذا تتخذ اي اجراءات صارمه ضد البائعين استلمت هاتفا مفعلا مسبقا وتحققت دعم سامسونج الخليج فتح غلاف المغلف قالوا ان هاتفي مفعل بينما استلمته الساعه يمكن فعل بدون فتح الغلاف فقط عزيزي يرجي اتخاذ اجراء ضد يقومون بمثل الحيل فانا الان اواجه مشكله الثقه طلبي,اعرف لماذا تتخذ اي اجراءات صارمه ضد البائعين استلمت هاتفا مفعلا مسبقا وتحققت دعم سامسونج الخليج فتح غلاف المغلف قالوا ان هاتفي مفعل بينما استلمته الساعه يمكن فعل بدون فتح الغلاف فقط عزيزي يرجي اتخاذ اجراء ضد يقومون بمثل الحيل فانا الان اواجه مشكله الثقه طلبي,negative,0.9131638407707214,neg_lex_override
Galaxy A16 Space Ram,Samsung,Nana A.,مايو 28 2025,انا احبه,المنتج رائع جدا استلمته للتو وبدات باستخدامه ساراجع تقييمي شهر المنتج رائع,المنتج رائع جدا استلمته للتو وبدات باستخدامه ساراجع تقييمي شهر المنتج رائع,positive,0.9471067786216736,pos_lex_override
Galaxy S24 Ultra Titanium Ram,Samsung,Anonymous,يونيو 14 2025,الترا,لقد مر اسبوع ان طلبت هاتف بصراحه انا متردد قليلا بشان الطلب عبر الانترنت لانني تعرضت للاحتيال مرات عديده شراء الاجهزه عبر الانترنت لكنني ممتن جدا لان الهاتف اصلي واصلي وصلني ثلاثه ايام طلبه يعمل شيء بسلاسه البطاريه والنظام وقد دامت البطاريه ليومين بالنسبه حسنا يعتمد الامر علي كيفيه استخدامك رائع المتجر رائع شكرا جزيلا,لقد مر اسبوع ان طلبت هاتف بصراحه انا متردد قليلا بشان الطلب عبر الانترنت لانني تعرضت للاحتيال مرات عديده شراء الاجهزه عبر الانترنت لكنني ممتن جدا لان الهاتف اصلي واصلي وصلني ثلاثه ايام طلبه يعمل شيء بسلاسه البطاريه والنظام وقد دامت البطاريه ليومين بالنسبه حسنا يعتمد الامر علي كيفيه استخدامك رائع المتجر رائع شكرا جزيلا,negative,0.85,mixed_pref_negative
Galaxy S24 Ultra Titanium Ram,Samsung,Anonymous,نوفمبر 8 2024,رب اشكرك علي الهديه الثمينه,كنت استخدم هاتف سامسونج جيه برايم والان اصبح هاتف احلامي اس الترا حقيقه واقعه يمكنني التعبير مشاعري بالكلمات الهي اشكرك علي الهديه الثمينه اس الترا استخدم الهاتف اسبوع انا راض جدا الجهاز اداء رائع وشاشه جميله البطاريه الشحن الكامل الاستخدام العادي يدوم لمده المزيد يومين الي يومين ونصف بطاريه يمكن تصورها كاميرا سامسونج اس الترا تقبل المنافسه,كنت استخدم هاتف سامسونج جيه برايم والان اصبح هاتف احلامي اس الترا حقيقه واقعه يمكنني التعبير مشاعري بالكلمات الهي اشكرك علي الهديه الثمينه اس الترا استخدم الهاتف اسبوع انا راض جدا الجهاز اداء رائع وشاشه جميله البطاريه الشحن الكامل الاستخدام العادي يدوم لمده المزيد يومين الي يومين ونصف بطاريه يمكن تصورها كاميرا سامسونج اس الترا تقبل المنافسه,positive,0.9774887561798096,pos_lex_override
Iphone 17 Pro Max 256,Apple,فهد  م.,أكتوبر 3 2025,الكاش باك,الكاش باك يجي بورقه ولازم تعبيها وترسل النموذج مر يوم كامل وصلتني تواصلت الدعم يقولون خلال يوم عمل وانا بشتري بكج حمايه وكفر,الكاش باك يجي بورقه ولازم تعبيها وترسل النموذج مر يوم كامل وصلتني تواصلت الدعم يقولون خلال يوم عمل وانا بشتري بكج حمايه وكفر,neutral,0.49535927176475525,none
Iphone 17 Pro Max 256,Apple,Anonymous,سبتمبر 26 2025,هاتف,الحب,الحب,positive,0.837904155254364,none
Galaxy A16 Space Ram,Samsung,Ahmed R.,سبتمبر 28 2025,جوال جيد جدا,حصلت علي رايت هاتف رائع علي يقرا المراجعه شراءه بسرعه انتهاء العرض,حصلت علي رايت هاتف رائع علي يقرا المراجعه شراءه بسرعه انتهاء العرض,positive,0.9535505175590515,pos_lex_override
Galaxy A16 Space Ram,Samsung,Riana K.,يوليو 17 2025,احب الهاتف,انا احبه جدا انه جيد ماشاء الله واحب شراء الاشياء المنتج بحاله جيده ويتم توصيله بسرعه,انا احبه جدا انه جيد ماشاء الله واحب شراء الاشياء المنتج بحاله جيده ويتم توصيله بسرعه,positive,0.9590553641319275,none
Iphone 17 Pro Max 256,Apple,Amin Sayed A.,سبتمبر 26 2025,سعر البرو ماكس والجهاز برو اللي مش هياخد بالو هايلبس زيي,سعر البرو ماكس والجهاز برو اللي مش هياخد بالو هايلبس زيي,سعر البرو ماكس والجهاز برو اللي مش هياخد بالو هايلبس زيي,neutral,0.8038181066513062,none
Galaxy A16 Space Ram,Samsung,Anonymous,يونيو 9 2025,جيد يوجد شاحن كابل فقط يوجد جراب مجاني,الهاتف جيد يوجد غطاء حمايه سماعه جراب مقبس فقط الكابل والدبوس,الهاتف جيد يوجد غطاء حمايه سماعه جراب مقبس فقط الكابل والدبوس,neutral,0.8355096578598022,none
Galaxy A16 Space Ram,Samsung,Anonymous,أبريل 2 2025,انا احب منتجات سامسونج,المنتج جيد المشكله الوحيده ان الجهاز يسخن بسرعه استخدام البث المباشر بشكل عام المنتج جيد وانا احب سامسونج,المنتج جيد المشكله الوحيده ان الجهاز يسخن بسرعه استخدام البث المباشر بشكل عام المنتج جيد وانا احب سامسونج,negative,0.9,neg_lex_override
Iphone 17 Pro Max 256,Apple,Anonymous,أكتوبر 5 2025,منتج جيد,قانوني,قانوني,neutral,0.7743611335754395,none
Galaxy A16 Space Ram,Samsung,Anonymous,يوليو 23 2025,يوجد شاحن,لماذا ياتي المنتج شاحن اذا المنتج ياتي بدون شاحن يجب علي العميل معرفه الطلب,لماذا ياتي المنتج شاحن اذا المنتج ياتي بدون شاحن يجب علي العميل معرفه الطلب,neutral,0.9426915645599365,none
Galaxy A16 Space Ram,Samsung,Anonymous,أغسطس 10 2025,خائب الامل,لماذا يوجد شاحن كابل بيانات واقي اذا يكن موجودا الجهاز فيجب ذكر,لماذا يوجد شاحن كابل بيانات واقي اذا يكن موجودا الجهاز فيجب ذكر,neutral,0.9672823548316956,none
