Product_Name,Review_Title,Customer_Name,Review_Date,Review_Link,Review_Description
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,هذا ليس الهاتف الذي أطلبه,Anonymous,"أغسطس 6, 2025",https://www.noon.com/saudi-ar/N70126890V/p/,"طلبتُ A16.4G.8/256.إصدار الشرق الأوسط. لكنهم أرسلوا لي آخر.
من النظرة الأولى، يبدو أنه مزيف. لم يكن الصندوق مغلفًا بورق بلاستيكي.
أشارككم الصورة أيضًا. لا أريد هذا.
أريد استرداد أموالي الآن."
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,❤️❤️❤️❤️❤️,James F.,"أكتوبر 3, 2025",https://www.noon.com/saudi-ar/N70211545V/p/,السعر قليل لكنه أعلى من الطبيعي
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,تم تسليم المنتج المستعمل,Anonymous,"يونيو 6, 2025",https://www.noon.com/saudi-ar/N70036947V/p/,"تنبيه: وفقًا لسياسة نون للإرجاع والاسترداد، يُرجى عدم فتح علبة المنتج إذا رغبتَ في إرجاعه.
بعد الاطلاع على السياسة، توخّيتُ الحذر الشديد وتواصلتُ مع خدمة عملاء سامسونج للتحقق من ملصق IMEI المُلصق خارج العلبة. ولكن، ولدهشتي، أكّدت سامسونج أن الهاتف مُفعّل بالفعل وأنه مُفعّل بالضمان. بدأت فترة الضمان قبل شهرين، مما يُشير بوضوح إلى أن الهاتف مُجدّد/مُعاد."
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,اشياء شرعية!,Nikhil J.,"أكتوبر 12, 2025",https://www.noon.com/saudi-ar/N70211681V/p/,عند التسليم والتفاح الكلاسيكي!
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,مفاجأة مذهلة من الظهيرة,Mehedi  H.,"نوفمبر 12, 2024",https://www.noon.com/saudi-ar/N70035265V/p/,"Samsung Galaxy S24 Ultra:
لقد اشتريت مؤخرًا Samsung Galaxy S24 Ultra من Noon وكنت متشككًا في البداية بشأن صحة الجهاز، نظرًا لانتشار المنتجات المقلدة على الإنترنت بشكل متزايد. ومع ذلك، عند الفحص الدقيق، فوجئت بسرور عندما وجدت أن الهاتف أصلي بالفعل.
يعتبر S24 Ultra قوة حقيقية، حيث يتميز بتصميم أنيق وشاشة نابضة بالحياة وأداء
...المزيد
استثنائي. نظام الكاميرا مثير للإعجاب بشكل خاص، حيث يلتقط صورًا ومقاطع فيديو مذهلة، حتى في ظروف الإضاءة المنخفضة. عمر البطارية ممتاز أيضًا، ويدوم بسهولة طوال يوم كامل من الاستخدام المكثف.
لقد أعجبت بشكل خاص بخدمة Noon. كانت عملية الطلب سلسة، وكان التسليم في الوقت المناسب. كانت العبوة نظيفة، ووصل الهاتف في حالة ممتازة.
إذا كنت تفكر في شراء هاتف ذكي متطور، فأنا أوصي بشدة بـ Samsung Galaxy S24 Ultra. وإذا كنت قلقًا بشأن الأصالة، فإن Noon هو الحل."
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,جيد جدًا وجميل أيضًا 😍,Diedone S.,"أكتوبر 2, 2025",https://www.noon.com/saudi-ar/N70211465V/p/,خدمة رائعة
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,خدمة سيئة للغاية,Anonymous,"أكتوبر 2, 2025",https://www.noon.com/saudi-ar/N70129663V/p/,"لقد استلمتَ منتجًا مختلفًا - لا يحتوي على شريحتي اتصال كما هو مطلوب.
تحقق من تفاصيل الطلب بعناية قبل التعبئة.
أتطلع لاستلام المنتج الصحيح كما هو مطلوب ووفقًا لوصف المنتج، أو ترتيب استرداد المبلغ. لقد ضيعتُ وقتًا."
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,هاتف مُفعّل مسبقًا أو مُستعمل,Anonymous,"أغسطس 14, 2025",https://www.noon.com/saudi-ar/N70035265V/p/,"اشتريتُ هاتف سامسونج جالاكسي إس ٢٤ ألترا، وتحققتُ من رقم IMEI ووجدتُ أن الهاتف مُفعّل مسبقًا من نون، وهو يُعاد الآن. شكرًا، لم أفتح العلبة. سأتقدم بشكوى لحماية المستهلك.
تحققتُ أيضًا من مركز خدمة سامسونج، وأكدوا أن الهاتف مُفعّل في ١ مايو. يُرجى الحذر من شراء جهاز باهظ الثمن من نون. يجب على نون اتخاذ إجراءات صارمة ضد البائع.
...المزيد

بعد أكثر من ١٠ رسائل بريد إلكتروني، أعادت نون الهاتف المُستعمل أو المُفعّل مسبقًا.
يا شباب، يُرجى عدم الشراء من نون بهذه التجارب.
خدمة دعم العملاء سيئة للغاية.
وفقًا لسياسة نون، لم أفتح العلبة وأُغلّفها حتى بعد رفضهم طلب الإرجاع."
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,The cartoon has scratched,Bassel H.,"أكتوبر 12, 2025",https://www.noon.com/saudi-ar/N70211677V/p/,"Not recommended, The mobile version is Japanese version it’s not recommended in UAE because of warranty issues so it’s cheapest version in UAE, The package was not in good condition and they refused to returned it back."
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,سامسونج A16 رمادي,Faith E.,"سبتمبر 16, 2025",https://www.noon.com/saudi-ar/N70126889V/p/,لماذا تعيد لي نفس المنتج 🥺🥺 وبه مشكلة...... هل يمكنك أن تخبرني.... لن أشتري أي شيء منك أبدًا لقد كنت عميلًا لديك.... لقد انتهيت....... لماذا المنتج الخاص بي غير مؤهل...
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,ممتاز وأصلي,Annaliza R.,"مارس 27, 2025",https://www.noon.com/saudi-ar/N70035206V/p/,"أنا عميل لدى نون منذ أربع سنوات، وهذه أول مرة أشتري هاتفًا غاليًا منهم. اشتريته اليوم، وترددت في البداية خوفًا من ألا يكون أصليًا، لكنني كنت مخطئًا. إنه أصلي وسريع التوصيل. وصل في عبوة ممتازة، وتم التعامل معه بعناية، وكل شيء على ما يرام. البطارية جيدة جدًا، أخف من بطاريات آيفون برو ماكس. استخدمت شاحن شاومي السريع بقوة ١٤٠ واط، وشحنته من ٥٦٪ في ٢٠ دقيقة دون أي حرارة أو أي خلل. أستخدم آيفون، لكنني معجب بهذا
...المزيد
الهاتف. أنصح الجميع بشرائه، ولا تترددوا! عمل رائع يا نون! شكرًا لكم."
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,Fast delivery,Semai K.,"أكتوبر 2, 2025",https://www.noon.com/saudi-ar/N70211464V/p/,"I have ordered the iPhone 17 Pro Max from Noon. Since I had a flight the next day, they did everything they could to deliver it on time — and they made it happen! The device is perfect, no issues at all. Thank you so much!"
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,ليس هاتفًا سيئًا وشرعيًا,Anonymous,"سبتمبر 2, 2025",https://www.noon.com/saudi-ar/N70126886V/p/,كل شيء جيد والأصلي من سامسونج لا يحتوي على محول شاحن وقد ثبت ذلك بالفعل ولكن الشيء الوحيد هو شكي لأنني لم أتوقع أن A16 4g لا يحتوي على EIS على عكس A165g
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,أفضل هاتف ذكي على الإطلاق,Iraz M.,"يوليو 12, 2024",https://www.noon.com/saudi-ar/N70035206V/p/,"لقد قمت مؤخرًا بطلب هاتف Samsung Galaxy S24 Ultra عبر الإنترنت، وأنا معجب جدًا به. تعد جودة تصنيع الهاتف من الطراز الأول، مع تصميم أنيق يشعرك بالفخامة في متناول اليد. شاشة AMOLED مقاس 6.8 بوصة مذهلة، وتوفر ألوانًا نابضة بالحياة وتفاصيل حادة، مما يجعلها مثالية لاستهلاك الوسائط والألعاب. ومن ناحية الأداء، فإن S24 Ultra لا يخيب الآمال. إنه مدعوم بمعالج قوي يضمن تجربة تعدد المهام والألعاب بسلاسة. نظام الكاميرا
...المزيد
استثنائي، حيث يلتقط صورًا ومقاطع فيديو مفصلة بميزاته المتقدمة."
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,كرتون مخدوش,Anonymous,"أكتوبر 7, 2025",https://www.noon.com/saudi-ar/N70211477V/p/,لم أتمكن من استرداد المبلغ
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,ظهر رائع,Anonymous,"فبراير 3, 2025",https://www.noon.com/saudi-ar/N70035206V/p/,"لقد اشتريت مؤخرًا هاتف Samsung Galaxy S24 Ultra من Noon في دبي، ويجب أن أقول إن التجربة كانت رائعة! كانت العملية برمتها - من التصفح إلى الدفع - سلسة وخالية من المتاعب. كان التسليم سريعًا وموثوقًا به، ووصل المنتج بحالة ممتازة، أصلي بنسبة 100% ومختوم.
S24 Ultra هو وحش مطلق - أداء لا يصدق، وشاشة مذهلة، وجودة كاميرا من الدرجة
...المزيد
الأولى. أنا أستمتع حقًا بجهازي الجديد، وأقدر الخدمة الممتازة من Noon.
أوصي بشدة بـ Noon لأي شخص يبحث عن تجربة تسوق عبر الإنترنت جديرة بالثقة وسلسة! ⭐⭐⭐⭐⭐"
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,جيد جدًا 👍,Namatovu B.,"مايو 17, 2025",https://www.noon.com/saudi-ar/N70126887V/p/,الهاتف جيد، ولكنني اعتقدت أنني سأستلمه مع جراب الهاتف وواقي الشاشة ولكنني شعرت بخيبة أمل، ومع ذلك فهو جيد جدًا، شكرًا لك على الظهيرة، لقد سلمت أغراضنا في الوقت المحدد.
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,صدمة يوم طلبت الجوال من عندهم وطلع اغلى من السعر الرسمي ب 500 ريال,Naser A.,"سبتمبر 28, 2025",https://www.noon.com/saudi-ar/N70211529V/p/,صدمة يوم طلبت الجوال من عندهم طلب مسبق وطلع اغلى من السعر الرسمي ب 500 ريال  حسيت نفسي مررره مغبون خصوصا اني شريت واخوي خليته يشتري منهم
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,من فضلك كن حذرا,Anonymous,"أغسطس 16, 2025",https://www.noon.com/saudi-ar/N70035265V/p/,يرجى توخي الحذر، فقد اشتريتُ هاتف سامسونج جالاكسي إس 24 ألترا من هذا البائع فيولا، وعندما تواصلتُ مع دعم سامسونج، كان الهاتف مُفعّلاً منذ حوالي ثلاثة أشهر، لذا قبل فتح المنتج، يُرجى التواصل مع دعم سامسونج وتزويدهم برقم IMEI للتحقق من تفعيله. صوّر فيديو وصورًا أثناء فتح المنتج. لا تُبدد أموالك التي كسبتها بشق الأنفس على منتجات مُفعّلة مسبقًا أو مُعادة، واتخذ الاحتياطات اللازمة قبل الشراء.
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,سامسونج A16 4 جيجابايت | 128 جيجابايت أسود 4G,NAMYENYA B.,"يونيو 9, 2025",https://www.noon.com/saudi-ar/N70126887V/p/,جاء الهاتف مع شاحن USB فقط بدون محول والآن أتساءل كيف سأقوم بشحنه، هذه هي خيبة الأمل التي حصلت عليها من المنتج.
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,Genuine product,Rahul M.,"أكتوبر 5, 2025",https://www.noon.com/saudi-ar/N70211677V/p/,"Before buying I was worried whether its genuine or not. But I have received genuine and quality product from the seller.
iPhone 17 pro worth upgrade if you have older iPhones than 14."
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,تم إصدار مفتاح التحكم في مستوى الصوت ومفتاح الصفحة الرئيسية لجهاز S24 Ultra,Rashid S.,"يونيو 24, 2025",https://www.noon.com/saudi-ar/N70036948V/p/,أنا غير راضٍ تمامًا عن تجربتي الأخيرة. استلمتُ هاتف سامسونج S24 ألترا بحالةٍ معيبةٍ بشكلٍ واضح - أزرار التشغيل والصوت كانت مكسورة وانفصلت فورًا عند محاولة استخدام الهاتف. هذا يُشير إلى مشكلةٍ خطيرةٍ في مراقبة الجودة، ومن المُخيب للآمال أن نون قامت بشحن منتجٍ كهذا. هذا يُثير التساؤل حول موثوقية البائع ومسؤوليته. سأُفكر مليًا قبل الطلب من هنا مرةً أخرى.
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,A16 لديه مظهر متميز,SUJAN M.,"مايو 29, 2025",https://www.noon.com/saudi-ar/N70129661V/p/,المنتج يلبي توقعاتي والسعر معقول أيضًا. لكن المشكلة هي أن إصدار الشرق الأوسط لم يوفر الشاحن داخل العلبة
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,Verson of mobile,Anonymous,"أكتوبر 3, 2025",https://www.noon.com/saudi-ar/N70211464V/p/,"In the name of international version they are selling
China varrient mobile they are not providing proper information so i am disappointed with this seller"
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,تم اكتشاف وجود رطوبة في منفذ الشحن,Suraj S.,"سبتمبر 10, 2025",https://www.noon.com/saudi-ar/N70035206V/p/,"مشكلة منفذ USB في هاتف سامسونج جالاكسي S24 مزعجة، إذ يواجه المستخدمون مشاكل في الشحن حتى دون التعرض للماء. تشمل الأسباب المحتملة تلف الكابلات، أو تلف المنافذ، أو خللًا في البرامج. تشمل خطوات استكشاف الأخطاء وإصلاحها التحقق من إعدادات USB، وتحديث برامج التشغيل، وإعادة تشغيل الأجهزة. إذا استمرت المشاكل، فننصحك بطلب مساعدة متخصصة من مركز خدمة معتمد من سامسونج. يأمل
...المزيد
المستخدمون أن تعالج سامسونج هذه المشكلة الشائعة.
حتى لو لم تكتمل بعد، لم يتم إصلاحها بعد."
iPhone 17 Pro Max 256 GB Cosmic Orange 5G (eSim only) With FaceTime - Middle East Version,On Time Delivery Original Apple product,Muhammad Muazam K.,"أكتوبر 8, 2025",https://www.noon.com/saudi-ar/N70211545V/p/,With one year warranty free apple TV and music happy with mobile phone speed and its colour better than my 15 promax
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,هاتف رائع وتوصيل سريع للغاية,Anonymous,"ديسمبر 29, 2024",https://www.noon.com/saudi-ar/N70036947V/p/,"كنت متشككًا بشأن شرائه عبر الإنترنت، لكنني حصلت على صفقة مذهلة من Noon.
لقد أحببت الهاتف والألوان، فهو هاتف من الدرجة الأولى من إنتاج Samsung. إذا كنت تحب الشاشة الكبيرة لمشاهدة مقاطع الفيديو، وكاميرا عالية الدقة مذهلة ومعالج سريع للغاية مع عمر بطارية مذهل. فهذا الهاتف مناسب لك بالتأكيد!
ملاحظة: إذا كنت سائحًا وتحاول شراء هذا الهاتف عبر الإنترنت من Noon، فيرجى ملاحظة
...المزيد
أنك لن تتمكن من المطالبة باسترداد ضريبة القيمة المضافة في المطار. إذا كنت ترغب في الاستفادة من ذلك، فقم بشرائه من متجر Planet المعفي من الضرائب."
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,خدمة جيدة,Rashadul Islam P.,"أغسطس 9, 2025",https://www.noon.com/saudi-ar/N70126886V/p/,ماشاء الله، ما استخدمته بعد، بس بعد ما أستخدمه بفهم طريقة عمله، وإن شاء الله يكون ممتاز. والباقي على الله.
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,هاتف مُفعّل مسبقًا,Shaik M.,"سبتمبر 8, 2025",https://www.noon.com/saudi-ar/N70036947V/p/,لا أعرف لماذا لا تتخذ نون أي إجراءات صارمة ضد البائعين. استلمتُ هاتفًا مُفعّلًا مسبقًا، وتحققتُ من دعم سامسونج الخليج قبل فتح غلاف نون المُغلّف. قالوا إن هاتفي مُفعّل في ١ سبتمبر ٢٠٢٥، بينما استلمتُه في ٧ سبتمبر ٢٠٢٥، الساعة ٥:٣٣ مساءً. كيف يُمكن فعل ذلك بدون فتح الغلاف فقط؟ عزيزي نون، يُرجى اتخاذ إجراء ضد من يقومون بمثل هذه الحيل، فأنا الآن أواجه مشكلة في الثقة عند طلبي.
هاتف Galaxy-A16 ثنائي الشريحة بلون رمادي وذاكرة وصول عشوائي (RAM) سعة 4 جيجابايت وذاكرة تخزين داخلية 128 جيجابايت يدعم تقنية 4G - إصدار الشرق الأوسط,أنا أحبه,Nana A.,"مايو 28, 2025",https://www.noon.com/saudi-ar/N70126887V/p/,المنتج رائع جدًا. استلمته للتو وبدأت باستخدامه. سأراجع تقييمي بعد شهر، لكن المنتج رائع حقًا.
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,S24 الترا,Anonymous,"يونيو 14, 2025",https://www.noon.com/saudi-ar/N70036947V/p/,لقد مرّ أسبوع منذ أن طلبتُ هاتف S24 Ultra. بصراحة، أنا متردد قليلاً بشأن الطلب عبر الإنترنت لأنني تعرضتُ للاحتيال مرات عديدة عند شراء الأجهزة عبر الإنترنت. لكنني ممتنٌّ جدًا لأن الهاتف أصلي وأصلي. وصلني بعد ثلاثة أيام من طلبه. يعمل كل شيء بسلاسة من حيث البطارية والنظام، وقد دامت البطارية ليومين بالنسبة لي. حسنًا، يعتمد الأمر على كيفية استخدامك له. رائع! المتجر رائع! شكرًا جزيلاً لكم.
هاتف Galaxy S24 Ultra ثنائي شريحة الاتصال بلون رمادي تيتانيوم وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G - إصدار الشرق الأوسط,يا رب أشكرك على هذه الهدية الثمينة لي 😊 Samsung Galaxy S24 Ultra 😘,Anonymous,"نوفمبر 8, 2024",https://www.noon.com/saudi-ar/N70036948V/p/,"منذ 2018 - 2024، كنت أستخدم هاتف سامسونج جيه 7 برايم. والآن أصبح هاتف أحلامي إس 24 ألترا حقيقة واقعة، ولا يمكنني التعبير عن مشاعري بالكلمات. يا إلهي، أشكرك على هذه الهدية الثمينة إس 24 ألترا. أستخدم هذا الهاتف منذ أسبوع واحد. أنا راضٍ جدًا عن هذا الجهاز
أداء رائع وشاشة جميلة. البطارية 🔋 بعد الشحن الكامل، الاستخدام العادي يدوم لمدة
...المزيد
يومين إلى يومين ونصف، بطارية لا يمكن تصورها، كاميرا سامسونج إس 24 ألترا لا تقبل المنافسة ⭐️⭐️⭐️⭐️⭐️"
